locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verticalDatum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks
e254a13c-26e8-483d-b664-4a0f1f4e9995,,,,,,,,,,,,B_HS_val 2_processiepark,,,,,,,,,
2df5259b-b4b4-4f43-8cf7-effcced06d6f,,,,,,,,,,,,B_DL_val 5_beek kleine vijver,,,,,,,,,
ff1535c0-6b5d-44be-b3ef-c4d4204dad74,,,,,,,,,,,,B_DL_val 3_dikke boom,,,,,,,,,
proj_loc_1,,,,,,,,,,,,,,,,,,,,,
