digitalEntityID,digitalEntityType,collectionID,accessURI,format,WebStatement,license
1df9727c-dde9-498a-824e-cc4f19436117,Dataset,,,https://raw.githubusercontent.com/tdwg/camtrap-dp/0.4/deployments-table-schema.json,https://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0
digital_entity_id_1,Software,,https://inbo.github.io/camtraptor/,,,
07840dcc-0d99-4ab4-973b-7e4a8e20b56d,StillImage,,https://multimedia.agouti.eu/assets/07840dcc-0d99-4ab4-973b-7e4a8e20b56d/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
401386c7-cc7a-46e5-9160-48c6158624a3,StillImage,,https://multimedia.agouti.eu/assets/401386c7-cc7a-46e5-9160-48c6158624a3/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
ca3ff293-89a4-425d-a853-5572837c5b83,StillImage,,https://multimedia.agouti.eu/assets/ca3ff293-89a4-425d-a853-5572837c5b83/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
e8b8e44c-491c-45d2-8928-aa5996c07584,StillImage,,https://multimedia.agouti.eu/assets/e8b8e44c-491c-45d2-8928-aa5996c07584/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
b8690a15-652a-4f08-9562-1797671410b8,StillImage,,https://multimedia.agouti.eu/assets/b8690a15-652a-4f08-9562-1797671410b8/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
64734615-ccaf-4c48-b63e-d7b07bdc6d39,StillImage,,https://multimedia.agouti.eu/assets/64734615-ccaf-4c48-b63e-d7b07bdc6d39/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
12ce5004-9427-41ff-bcba-99b09c716e81,StillImage,,https://multimedia.agouti.eu/assets/12ce5004-9427-41ff-bcba-99b09c716e81/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
f372acaf-1d46-4244-8edf-5f804da1e092,StillImage,,https://multimedia.agouti.eu/assets/f372acaf-1d46-4244-8edf-5f804da1e092/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
97140835-6245-4adb-b84d-af09045389cf,StillImage,,https://multimedia.agouti.eu/assets/97140835-6245-4adb-b84d-af09045389cf/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
d1326349-76fd-4e83-a20c-a7994e4c0da2,StillImage,,https://multimedia.agouti.eu/assets/d1326349-76fd-4e83-a20c-a7994e4c0da2/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
017e3d07-3e6c-45a2-adbd-e7308c74f656,StillImage,,https://multimedia.agouti.eu/assets/017e3d07-3e6c-45a2-adbd-e7308c74f656/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
e82ea167-73a2-4cd3-a819-9d94a206a75f,StillImage,,https://multimedia.agouti.eu/assets/e82ea167-73a2-4cd3-a819-9d94a206a75f/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
8aab9351-ccf3-499a-bf1a-8f98a3957b0f,StillImage,,https://multimedia.agouti.eu/assets/8aab9351-ccf3-499a-bf1a-8f98a3957b0f/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
dd543fc8-8bf8-4a85-a026-1469367cb7f8,StillImage,,https://multimedia.agouti.eu/assets/dd543fc8-8bf8-4a85-a026-1469367cb7f8/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
6affb228-efd9-4327-acbf-fdc5cf8c8816,StillImage,,https://multimedia.agouti.eu/assets/6affb228-efd9-4327-acbf-fdc5cf8c8816/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
ef3afb3b-b922-4347-ad0d-125c20c3d822,StillImage,,https://multimedia.agouti.eu/assets/ef3afb3b-b922-4347-ad0d-125c20c3d822/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
29aef5c3-20a6-4701-9027-8b04c620cda0,StillImage,,https://multimedia.agouti.eu/assets/29aef5c3-20a6-4701-9027-8b04c620cda0/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
200e99c0-692e-46f2-aa44-7f7dc599757a,StillImage,,https://multimedia.agouti.eu/assets/200e99c0-692e-46f2-aa44-7f7dc599757a/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
97b70ded-6f6b-480c-b386-b6d11f045907,StillImage,,https://multimedia.agouti.eu/assets/97b70ded-6f6b-480c-b386-b6d11f045907/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
bbd0d520-665a-48f0-8c3a-f176b1d52076,StillImage,,https://multimedia.agouti.eu/assets/bbd0d520-665a-48f0-8c3a-f176b1d52076/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
75e6d1df-1ede-4ca7-a8b0-9cda64493f4d,StillImage,,https://multimedia.agouti.eu/assets/75e6d1df-1ede-4ca7-a8b0-9cda64493f4d/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
948c2184-a964-494c-8416-ea08827697ba,StillImage,,https://multimedia.agouti.eu/assets/948c2184-a964-494c-8416-ea08827697ba/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
8f0c5a8c-69c9-48f3-99b0-46ebe858643f,StillImage,,https://multimedia.agouti.eu/assets/8f0c5a8c-69c9-48f3-99b0-46ebe858643f/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
50d30a87-67ce-4eab-a3b5-c3b7db3aaebb,StillImage,,https://multimedia.agouti.eu/assets/50d30a87-67ce-4eab-a3b5-c3b7db3aaebb/file,image/jpeg,http://creativecommons.org/licenses/by/4.0/,CC BY 4.0
