referenceID,referenceType,bibliographicCitation,referenceYear,referenceDOI,referencePeerReviewed
https://doi.org/10.5281/zenodo.5590881,Dataset,,2021,https://doi.org/10.5281/zenodo.5590881,0
https://inbo.github.io/camtraptor/,Software,"Oldoni D, Desmet P (2022). camtraptor: Read, Explore and Visualize Camera Trap Data Packages. R package version 0.19.2.",2022,,0
