materialEntityID,materialEntityType
21714980,dwc:Organism
29610849,dwc:Organism
29610851,dwc:Organism
26462265,dwc:Organism
1906948,dwc:Organism
10599395,dwc:Organism
21176824,dwc:Organism
29211836,dwc:Organism
23825198,"parka, fur"
21714981,"skin, study"
21714982,skeleton
21714987,baculum
21714983,"heart, kidney"
21714984,liver
21714985,liver
21714986,ectoparasite
29610850,whole organism
29610852,whole organism
26462266,whole organism
29610848,tissue
27237942,liver
1906949,skull
1906951,skin
2147317,karyotype
2147316,kidney
2147315,liver
2782031,liver
1906950,skeleton
2147319,"heart, kidney"
27249945,karyotype
2147318,liver
3002162,liver
27237943,liver
21261239,egg
21176825,whole organism
29226084,bone
23825199,object
23825200,media
