taxonID,parentTaxonID,scientificName
SH222011.07FU,Archaeorhizomyces_sp,SH222011.07FU
Mortierella_humilis,Mortierella,Mortierella_humilis
SH196779.07FU,Mortierella_humilis,SH196779.07FU
SH222239.07FU,Archaeorhizomyces_sp,SH222239.07FU
Dothideomycetes,Ascomycota,Dothideomycetes
Capnodiales,Dothideomycetes,Capnodiales
Mycosphaerellaceae,Capnodiales,Mycosphaerellaceae
Ramularia,Mycosphaerellaceae,Ramularia
Ramularia_vizellae,Ramularia,Ramularia_vizellae
SH206778.07FU,Ramularia_vizellae,SH206778.07FU
Cantharellales,Agaricomycetes,Cantharellales
Clavulinaceae,Cantharellales,Clavulinaceae
Clavulina,Clavulinaceae,Clavulina
Clavulina_sp,Clavulina,Clavulina_sp
SH179905.07FU,Clavulina_sp,SH179905.07FU
Mortierella_sp,Mortierella,Mortierella_sp
SH003980.07FU,Mortierella_sp,SH003980.07FU
Mycosphaerella,Mycosphaerellaceae,Mycosphaerella
Mycosphaerella_tassiana,Mycosphaerella,Mycosphaerella_tassiana
SH216250.07FU,Mycosphaerella_tassiana,SH216250.07FU
unidentified,Fungi,unidentified
Fungi_sp,unidentified,Fungi_sp
SH021173.07FU,Fungi_sp,SH021173.07FU
Saccharomycetes,Ascomycota,Saccharomycetes
Saccharomycetales,Saccharomycetes,Saccharomycetales
unidentified,Saccharomycetales,unidentified
Saccharomycetales_sp,unidentified,Saccharomycetales_sp
SH196473.07FU,Saccharomycetales_sp,SH196473.07FU
Rozellomycota,Fungi,Rozellomycota
unidentified,Rozellomycota,unidentified
Rozellomycota_sp,unidentified,Rozellomycota_sp
SH021172.07FU,Rozellomycota_sp,SH021172.07FU
Agaricales,Agaricomycetes,Agaricales
Amanitaceae,Agaricales,Amanitaceae
Amanita,Amanitaceae,Amanita
Amanita_fulva,Amanita,Amanita_fulva
SH192283.07FU,Amanita_fulva,SH192283.07FU
unidentified,Ascomycota,unidentified
Ascomycota_sp,unidentified,Ascomycota_sp
SH490663.07FU,Ascomycota_sp,SH490663.07FU
SH489413.07FU,Mortierella_sp,SH489413.07FU
SH004231.07FU,Archaeorhizomyces_sp,SH004231.07FU
Trichosporonales,Tremellomycetes,Trichosporonales
Trichosporonaceae,Trichosporonales,Trichosporonaceae
Apiotrichum,Trichosporonaceae,Apiotrichum
Apiotrichum_xylopini,Apiotrichum,Apiotrichum_xylopini
SH262855.07FU,Apiotrichum_xylopini,SH262855.07FU
Pezizomycetes,Ascomycota,Pezizomycetes
Pezizales,Pezizomycetes,Pezizales
Pyronemataceae,Pezizales,Pyronemataceae
Pseudaleuria,Pyronemataceae,Pseudaleuria
Pseudaleuria_sp,Pseudaleuria,Pseudaleuria_sp
SH220511.07FU,Pseudaleuria_sp,SH220511.07FU
SH220217.07FU,Clavulina_sp,SH220217.07FU
Pleosporales,Dothideomycetes,Pleosporales
Sporormiaceae,Pleosporales,Sporormiaceae
Preussia,Sporormiaceae,Preussia
Preussia_flanaganii,Preussia,Preussia_flanaganii
SH184180.07FU,Preussia_flanaganii,SH184180.07FU
Inocybaceae,Agaricales,Inocybaceae
