entityID,entityType
10271,material
10272,material
10273,material
10278,material
10279,material
10280,material
10285,material
10286,material
10287,material
10292,material
10293,material
10294,material
10299,material
10300,material
10301,material
10306,material
10307,material
10308,material
10313,material
10314,material
10315,material
10320,material
10321,material
10322,material
10327,material
10328,material
10329,material
10334,material
10335,material
10336,material
10341,material
10342,material
10343,material
10348,material
10349,material
10350,material
10355,material
10356,material
10357,material
10362,material
10363,material
10364,material
10369,material
10370,material
10371,material
10376,material
10377,material
10378,material
10383,material
10384,material
10385,material
10390,material
10391,material
10392,material
10397,material
10398,material
10399,material
10404,material
10405,material
10406,material
10411,material
10412,material
10413,material
10418,material
10419,material
10420,material
10425,material
10426,material
10427,material
10432,material
10433,material
10434,material
10439,material
10440,material
10441,material
10446,material
10447,material
10448,material
10453,material
10454,material
10455,material
10460,material
10461,material
10462,material
10467,material
10468,material
10469,material
10474,material
10475,material
10476,material
10481,material
10482,material
10483,material
10488,material
10489,material
10490,material
10495,material
10496,material
10497,material
10502,material
10503,material
10504,material
10509,material
10510,material
10511,material
10516,material
10517,material
10518,material
10523,material
10524,material
10525,material
10530,material
10531,material
10532,material
10537,material
10538,material
10539,material
10544,material
10545,material
10546,material
10551,material
10552,material
10553,material
10558,material
10559,material
10560,material
10565,material
10566,material
10567,material
10572,material
10573,material
10574,material
10579,material
10580,material
10581,material
10586,material
10587,material
10588,material
10593,material
10594,material
10595,material
10600,material
10601,material
10602,material
10607,material
10608,material
10609,material
10614,material
10615,material
10616,material
10621,material
10622,material
10623,material
10628,material
10629,material
10630,material
10635,material
10636,material
10637,material
10642,material
10643,material
10644,material
10649,material
10650,material
10651,material
10656,material
10657,material
10658,material
10663,material
10664,material
10665,material
10670,material
10671,material
10672,material
10677,material
10678,material
10679,material
10684,material
10685,material
10686,material
10691,material
10692,material
10693,material
10698,material
10699,material
10700,material
10705,material
10706,material
10707,material
10712,material
10713,material
10714,material
10719,material
10720,material
10721,material
10726,material
10727,material
10728,material
10733,material
10734,material
10735,material
10740,material
10741,material
10742,material
10747,material
10748,material
10749,material
10754,material
10755,material
10756,material
10761,material
10762,material
10763,material
10768,material
10769,material
10770,material
10775,material
10776,material
10777,material
10782,material
10783,material
10784,material
10789,material
10790,material
10791,material
10796,material
10797,material
10798,material
10803,material
10804,material
10805,material
10810,material
10811,material
10812,material
10817,material
10818,material
10819,material
10824,material
10825,material
10826,material
10831,material
10832,material
10833,material
10838,material
10839,material
10840,material
10845,material
10846,material
10847,material
10852,material
10853,material
10854,material
10859,material
10860,material
10861,material
10866,material
10867,material
10868,material
10873,material
10874,material
10875,material
10880,material
10881,material
10882,material
10887,material
10888,material
10889,material
10894,material
10895,material
10896,material
10901,material
10902,material
10903,material
10908,material
10909,material
10910,material
10915,material
10916,material
10917,material
10922,material
10923,material
10924,material
10929,material
10930,material
10931,material
10936,material
10937,material
10938,material
10943,material
10944,material
10945,material
10950,material
10951,material
10952,material
10957,material
10958,material
10959,material
10964,material
10965,material
10966,material
10971,material
10972,material
10973,material
10978,material
10979,material
10980,material
10985,material
10986,material
10987,material
10992,material
10993,material
10994,material
10999,material
11000,material
11001,material
11006,material
11007,material
11008,material
11013,material
11014,material
11015,material
11020,material
11021,material
11022,material
11027,material
11028,material
11029,material
11034,material
11035,material
11036,material
11041,material
11042,material
11043,material
11048,material
11049,material
11050,material
11055,material
11056,material
11057,material
11062,material
11063,material
11064,material
11069,material
11070,material
11071,material
11076,material
11077,material
11078,material
11083,material
11084,material
11085,material
11090,material
11091,material
11092,material
11097,material
11098,material
11099,material
11104,material
11105,material
11106,material
11111,material
11112,material
11113,material
11118,material
11119,material
11120,material
11125,material
11126,material
11127,material
11132,material
11133,material
11134,material
11139,material
11140,material
11141,material
11146,material
11147,material
11148,material
11153,material
11154,material
11155,material
11160,material
11161,material
11162,material
11167,material
11168,material
11169,material
11174,material
11175,material
11176,material
11182,organism
11181,sequence
11189,organism
11188,sequence
11196,organism
11195,sequence
11203,organism
11202,sequence
11210,organism
11209,sequence
11217,organism
11216,sequence
11224,organism
11223,sequence
11231,organism
11230,sequence
11238,organism
11237,sequence
11245,organism
11244,sequence
11252,organism
11251,sequence
11259,organism
11258,sequence
11266,organism
11265,sequence
11273,organism
11272,sequence
11280,organism
11279,sequence
11287,organism
11286,sequence
11294,organism
11293,sequence
11301,organism
11300,sequence
11308,organism
11307,sequence
11315,organism
11314,sequence
11322,organism
11321,sequence
11329,organism
11328,sequence
11336,organism
11335,sequence
11343,organism
11342,sequence
11350,organism
11349,sequence
11357,organism
11356,sequence
11364,organism
11363,sequence
11371,organism
11370,sequence
11378,organism
11377,sequence
11385,organism
11384,sequence
11392,organism
11391,sequence
11399,organism
11398,sequence
11406,organism
11405,sequence
11413,organism
11412,sequence
11420,organism
11419,sequence
11427,organism
11426,sequence
11434,organism
11433,sequence
11441,organism
11440,sequence
11448,organism
11447,sequence
11455,organism
11454,sequence
11462,organism
11461,sequence
11469,organism
11468,sequence
11476,organism
11475,sequence
11483,organism
11482,sequence
11490,organism
11489,sequence
11497,organism
11496,sequence
11504,organism
11503,sequence
11511,organism
11510,sequence
11518,organism
11517,sequence
11525,organism
11524,sequence
11532,organism
11531,sequence
11539,organism
11538,sequence
11546,organism
11545,sequence
11553,organism
11552,sequence
11560,organism
11559,sequence
11567,organism
11566,sequence
11574,organism
11573,sequence
11581,organism
11580,sequence
11588,organism
11587,sequence
11595,organism
11594,sequence
11602,organism
11601,sequence
11609,organism
11608,sequence
11616,organism
11615,sequence
11623,organism
11622,sequence
11630,organism
11629,sequence
11637,organism
11636,sequence
11644,organism
11643,sequence
11651,organism
11650,sequence
11658,organism
11657,sequence
11665,organism
11664,sequence
11672,organism
11671,sequence
11679,organism
11678,sequence
11686,organism
11685,sequence
11693,organism
11692,sequence
11700,organism
11699,sequence
11707,organism
11706,sequence
11714,organism
11713,sequence
11721,organism
11720,sequence
11728,organism
11727,sequence
11735,organism
11734,sequence
11742,organism
11741,sequence
11749,organism
11748,sequence
11756,organism
11755,sequence
11763,organism
11762,sequence
11770,organism
11769,sequence
11777,organism
11776,sequence
11784,organism
11783,sequence
11791,organism
11790,sequence
11798,organism
11797,sequence
11805,organism
11804,sequence
11812,organism
11811,sequence
11819,organism
11818,sequence
11826,organism
11825,sequence
11833,organism
11832,sequence
11840,organism
11839,sequence
11847,organism
11846,sequence
11854,organism
11853,sequence
11861,organism
11860,sequence
11868,organism
11867,sequence
11875,organism
11874,sequence
11882,organism
11881,sequence
11889,organism
11888,sequence
11896,organism
11895,sequence
11903,organism
11902,sequence
11910,organism
11909,sequence
11917,organism
11916,sequence
11924,organism
11923,sequence
11931,organism
11930,sequence
11938,organism
11937,sequence
11945,organism
11944,sequence
11952,organism
11951,sequence
11959,organism
11958,sequence
11966,organism
11965,sequence
11973,organism
11972,sequence
11980,organism
11979,sequence
11987,organism
11986,sequence
11994,organism
11993,sequence
12001,organism
12000,sequence
12008,organism
12007,sequence
12015,organism
12014,sequence
12022,organism
12021,sequence
12029,organism
12028,sequence
12036,organism
12035,sequence
12043,organism
12042,sequence
12050,organism
12049,sequence
12057,organism
12056,sequence
12064,organism
12063,sequence
12071,organism
12070,sequence
12078,organism
12077,sequence
12085,organism
12084,sequence
12092,organism
12091,sequence
12099,organism
12098,sequence
12106,organism
12105,sequence
12113,organism
12112,sequence
12120,organism
12119,sequence
12127,organism
12126,sequence
12134,organism
12133,sequence
12141,organism
12140,sequence
12148,organism
12147,sequence
12155,organism
12154,sequence
12162,organism
12161,sequence
12169,organism
12168,sequence
12176,organism
12175,sequence
12183,organism
12182,sequence
12190,organism
12189,sequence
12197,organism
12196,sequence
12204,organism
12203,sequence
12211,organism
12210,sequence
12218,organism
12217,sequence
12225,organism
12224,sequence
12232,organism
12231,sequence
12239,organism
12238,sequence
12246,organism
12245,sequence
12253,organism
12252,sequence
12260,organism
12259,sequence
12267,organism
12266,sequence
12274,organism
12273,sequence
12281,organism
12280,sequence
12288,organism
12287,sequence
12295,organism
12294,sequence
12302,organism
12301,sequence
12309,organism
12308,sequence
12316,organism
12315,sequence
12323,organism
12322,sequence
12330,organism
12329,sequence
12337,organism
12336,sequence
12344,organism
12343,sequence
12351,organism
12350,sequence
12358,organism
12357,sequence
12365,organism
12364,sequence
12372,organism
12371,sequence
12379,organism
12378,sequence
12386,organism
12385,sequence
12393,organism
12392,sequence
12400,organism
12399,sequence
12407,organism
12406,sequence
12414,organism
12413,sequence
12421,organism
12420,sequence
12428,organism
12427,sequence
12435,organism
12434,sequence
12442,organism
12441,sequence
12449,organism
12448,sequence
12456,organism
12455,sequence
12463,organism
12462,sequence
12470,organism
12469,sequence
12477,organism
12476,sequence
12484,organism
12483,sequence
12491,organism
12490,sequence
12498,organism
12497,sequence
12505,organism
12504,sequence
12512,organism
12511,sequence
12519,organism
12518,sequence
12526,organism
12525,sequence
12533,organism
12532,sequence
12540,organism
12539,sequence
12547,organism
12546,sequence
12554,organism
12553,sequence
12561,organism
12560,sequence
12568,organism
12567,sequence
12575,organism
12574,sequence
12582,organism
12581,sequence
12589,organism
12588,sequence
12596,organism
12595,sequence
12603,organism
12602,sequence
12610,organism
12609,sequence
12617,organism
12616,sequence
12624,organism
12623,sequence
12631,organism
12630,sequence
12638,organism
12637,sequence
12645,organism
12644,sequence
12652,organism
12651,sequence
12659,organism
12658,sequence
12666,organism
12665,sequence
12673,organism
12672,sequence
12680,organism
12679,sequence
12687,organism
12686,sequence
12694,organism
12693,sequence
12701,organism
12700,sequence
12708,organism
12707,sequence
12715,organism
12714,sequence
12722,organism
12721,sequence
12729,organism
12728,sequence
12736,organism
12735,sequence
12743,organism
12742,sequence
12750,organism
12749,sequence
12757,organism
12756,sequence
12764,organism
12763,sequence
12771,organism
12770,sequence
12778,organism
12777,sequence
12785,organism
12784,sequence
12792,organism
12791,sequence
12799,organism
12798,sequence
12806,organism
12805,sequence
12813,organism
12812,sequence
12820,organism
12819,sequence
12827,organism
12826,sequence
12834,organism
12833,sequence
12841,organism
12840,sequence
12848,organism
12847,sequence
12855,organism
12854,sequence
12862,organism
12861,sequence
12869,organism
12868,sequence
12876,organism
12875,sequence
12883,organism
12882,sequence
12890,organism
12889,sequence
12897,organism
12896,sequence
12904,organism
12903,sequence
12911,organism
12910,sequence
12918,organism
12917,sequence
12925,organism
12924,sequence
12932,organism
12931,sequence
12939,organism
12938,sequence
12946,organism
12945,sequence
12953,organism
12952,sequence
12960,organism
12959,sequence
12967,organism
12966,sequence
12974,organism
12973,sequence
12981,organism
12980,sequence
12988,organism
12987,sequence
12995,organism
12994,sequence
13002,organism
13001,sequence
13009,organism
13008,sequence
13016,organism
13015,sequence
13023,organism
13022,sequence
13030,organism
13029,sequence
13037,organism
13036,sequence
13044,organism
13043,sequence
13051,organism
13050,sequence
13058,organism
13057,sequence
13065,organism
13064,sequence
13072,organism
13071,sequence
13079,organism
13078,sequence
13086,organism
13085,sequence
13093,organism
13092,sequence
13100,organism
13099,sequence
13107,organism
13106,sequence
13114,organism
13113,sequence
13121,organism
13120,sequence
13128,organism
13127,sequence
13135,organism
13134,sequence
13142,organism
13141,sequence
13149,organism
13148,sequence
13156,organism
13155,sequence
13163,organism
13162,sequence
13170,organism
13169,sequence
13177,organism
13176,sequence
13184,organism
13183,sequence
13191,organism
13190,sequence
13198,organism
13197,sequence
13205,organism
13204,sequence
13212,organism
13211,sequence
13219,organism
13218,sequence
13226,organism
13225,sequence
13233,organism
13232,sequence
13240,organism
13239,sequence
13247,organism
13246,sequence
13254,organism
13253,sequence
13261,organism
13260,sequence
13268,organism
13267,sequence
13275,organism
13274,sequence
13282,organism
13281,sequence
13289,organism
13288,sequence
13296,organism
13295,sequence
13303,organism
13302,sequence
13310,organism
13309,sequence
13317,organism
13316,sequence
13324,organism
13323,sequence
13331,organism
13330,sequence
13338,organism
13337,sequence
13345,organism
13344,sequence
13352,organism
13351,sequence
13359,organism
13358,sequence
13366,organism
13365,sequence
13373,organism
13372,sequence
13380,organism
13379,sequence
13387,organism
13386,sequence
13394,organism
13393,sequence
13401,organism
13400,sequence
13408,organism
13407,sequence
13415,organism
13414,sequence
13422,organism
13421,sequence
13429,organism
13428,sequence
13436,organism
13435,sequence
13443,organism
13442,sequence
13450,organism
13449,sequence
13457,organism
13456,sequence
13464,organism
13463,sequence
13471,organism
13470,sequence
13478,organism
13477,sequence
13485,organism
13484,sequence
13492,organism
13491,sequence
13499,organism
13498,sequence
13506,organism
13505,sequence
13513,organism
13512,sequence
13520,organism
13519,sequence
13527,organism
13526,sequence
13534,organism
13533,sequence
13541,organism
13540,sequence
13548,organism
13547,sequence
13555,organism
13554,sequence
13562,organism
13561,sequence
13569,organism
13568,sequence
13576,organism
13575,sequence
13583,organism
13582,sequence
13590,organism
13589,sequence
13597,organism
13596,sequence
13604,organism
13603,sequence
13611,organism
13610,sequence
13618,organism
13617,sequence
13625,organism
13624,sequence
13632,organism
13631,sequence
13639,organism
13638,sequence
13646,organism
13645,sequence
13653,organism
13652,sequence
13660,organism
13659,sequence
13667,organism
13666,sequence
13674,organism
13673,sequence
13681,organism
13680,sequence
13688,organism
13687,sequence
13695,organism
13694,sequence
13702,organism
13701,sequence
13709,organism
13708,sequence
13716,organism
13715,sequence
13723,organism
13722,sequence
13730,organism
13729,sequence
13737,organism
13736,sequence
13744,organism
13743,sequence
13751,organism
13750,sequence
13758,organism
13757,sequence
13765,organism
13764,sequence
13772,organism
13771,sequence
13779,organism
13778,sequence
13786,organism
13785,sequence
13793,organism
13792,sequence
13800,organism
13799,sequence
13807,organism
13806,sequence
13814,organism
13813,sequence
13821,organism
13820,sequence
13828,organism
13827,sequence
13835,organism
13834,sequence
13842,organism
13841,sequence
13849,organism
13848,sequence
13856,organism
13855,sequence
13863,organism
13862,sequence
13870,organism
13869,sequence
13877,organism
13876,sequence
13884,organism
13883,sequence
13891,organism
13890,sequence
13898,organism
13897,sequence
13905,organism
13904,sequence
13912,organism
13911,sequence
13919,organism
13918,sequence
13926,organism
13925,sequence
13933,organism
13932,sequence
13940,organism
13939,sequence
13947,organism
13946,sequence
13954,organism
13953,sequence
13961,organism
13960,sequence
13968,organism
13967,sequence
13975,organism
13974,sequence
13982,organism
13981,sequence
13989,organism
13988,sequence
13996,organism
13995,sequence
14003,organism
14002,sequence
14010,organism
14009,sequence
14017,organism
14016,sequence
14024,organism
14023,sequence
14031,organism
14030,sequence
14038,organism
14037,sequence
14045,organism
14044,sequence
14052,organism
14051,sequence
14059,organism
14058,sequence
14066,organism
14065,sequence
14073,organism
14072,sequence
14080,organism
14079,sequence
14087,organism
14086,sequence
14094,organism
14093,sequence
14101,organism
14100,sequence
14108,organism
14107,sequence
14115,organism
14114,sequence
14122,organism
14121,sequence
14129,organism
14128,sequence
14136,organism
14135,sequence
14143,organism
14142,sequence
14150,organism
14149,sequence
14157,organism
14156,sequence
14164,organism
14163,sequence
14171,organism
14170,sequence
14178,organism
14177,sequence
14185,organism
14184,sequence
14192,organism
14191,sequence
14199,organism
14198,sequence
14206,organism
14205,sequence
14213,organism
14212,sequence
14220,organism
14219,sequence
14227,organism
14226,sequence
14234,organism
14233,sequence
14241,organism
14240,sequence
14248,organism
14247,sequence
14255,organism
14254,sequence
14262,organism
