assertionID,geneticSequenceID,effectiveDate,type,value,valueNumeric,unit
11593,11587,,relativeAbundance,,0.4485208889784811,percentage
11600,11594,,reads,,24.0,unit
11600,11594,,relativeAbundance,,0.07655014034192396,percentage
11607,11601,,reads,,703.0,unit
11607,11601,,relativeAbundance,,1.8590014808546647,percentage
11614,11608,,reads,,93.0,unit
11614,11608,,relativeAbundance,,0.12497648291988067,percentage
11621,11615,,reads,,137.0,unit
11621,11615,,relativeAbundance,,0.4127251912996325,percentage
11628,11622,,reads,,124.0,unit
11628,11622,,relativeAbundance,,0.31808737141831056,percentage
11635,11629,,reads,,3861.0,unit
11635,11629,,relativeAbundance,,8.416532240484806,percentage
11642,11636,,reads,,129.0,unit
11642,11636,,relativeAbundance,,0.24484682837945565,percentage
11649,11643,,reads,,1454.0,unit
11649,11643,,relativeAbundance,,3.760312411099904,percentage
11656,11650,,reads,,296.0,unit
11656,11650,,relativeAbundance,,1.423282204164062,percentage
11663,11657,,reads,,99.0,unit
11663,11657,,relativeAbundance,,0.273186346201606,percentage
11670,11664,,reads,,1916.0,unit
11670,11664,,relativeAbundance,,5.086950750033187,percentage
11677,11671,,reads,,46.0,unit
11677,11671,,relativeAbundance,,0.14902646839666958,percentage
11684,11678,,reads,,488.0,unit
11684,11678,,relativeAbundance,,1.400487874874444,percentage
11691,11685,,reads,,93.0,unit
11691,11685,,relativeAbundance,,0.7279273638071384,percentage
11698,11692,,reads,,207.0,unit
11698,11692,,relativeAbundance,,1.020005913077757,percentage
11705,11699,,reads,,387.0,unit
11705,11699,,relativeAbundance,,1.55678024055674,percentage
11712,11706,,reads,,252.0,unit
11712,11706,,relativeAbundance,,0.8935536486773987,percentage
11719,11713,,reads,,22.0,unit
11719,11713,,relativeAbundance,,0.06714481916679384,percentage
11726,11720,,reads,,463.0,unit
11726,11720,,relativeAbundance,,1.439676616915423,percentage
11733,11727,,reads,,187.0,unit
11733,11727,,relativeAbundance,,0.49596859749628686,percentage
11740,11734,,reads,,39.0,unit
11740,11734,,relativeAbundance,,0.14729209154769998,percentage
11747,11741,,reads,,14.0,unit
11747,11741,,relativeAbundance,,0.07164423519778926,percentage
11754,11748,,reads,,134.0,unit
11754,11748,,relativeAbundance,,0.2688981197198643,percentage
11761,11755,,reads,,6677.0,unit
11761,11755,,relativeAbundance,,12.783106465261424,percentage
11768,11762,,reads,,159.0,unit
11768,11762,,relativeAbundance,,0.3779055949042164,percentage
11775,11769,,reads,,14.0,unit
11775,11769,,relativeAbundance,,0.04418634010857215,percentage
11782,11776,,reads,,339.0,unit
11782,11776,,relativeAbundance,,1.0347353641413832,percentage
11789,11783,,reads,,798.0,unit
11789,11783,,relativeAbundance,,1.7720338418493105,percentage
11796,11790,,reads,,4183.0,unit
11796,11790,,relativeAbundance,,14.925426389780919,percentage
11803,11797,,reads,,13.0,unit
11803,11797,,relativeAbundance,,0.054688485970299947,percentage
11810,11804,,reads,,51.0,unit
11810,11804,,relativeAbundance,,0.38531278331822305,percentage
11817,11811,,reads,,606.0,unit
11817,11811,,relativeAbundance,,1.1505382468531071,percentage
11824,11818,,reads,,680.0,unit
11824,11818,,relativeAbundance,,0.9606555061100516,percentage
11831,11825,,reads,,471.0,unit
11831,11825,,relativeAbundance,,0.8451614060901864,percentage
11838,11832,,reads,,999.0,unit
11838,11832,,relativeAbundance,,1.6041235126932896,percentage
11845,11839,,reads,,454.0,unit
11845,11839,,relativeAbundance,,1.0428630495704507,percentage
11852,11846,,reads,,1219.0,unit
11852,11846,,relativeAbundance,,3.7111456145157855,percentage
11859,11853,,reads,,4339.0,unit
11859,11853,,relativeAbundance,,6.34087886714697,percentage
11866,11860,,reads,,342.0,unit
11866,11860,,relativeAbundance,,0.5147191620010836,percentage
11873,11867,,reads,,26.0,unit
11873,11867,,relativeAbundance,,0.07857121271644858,percentage
11880,11874,,reads,,152.0,unit
11880,11874,,relativeAbundance,,0.163683745773298,percentage
11887,11881,,reads,,1451.0,unit
11887,11881,,relativeAbundance,,3.769614465343448,percentage
11894,11888,,reads,,21.0,unit
11894,11888,,relativeAbundance,,0.03155948963796757,percentage
11901,11895,,reads,,42.0,unit
11901,11895,,relativeAbundance,,0.14327625025585045,percentage
11908,11902,,reads,,504.0,unit
11908,11902,,relativeAbundance,,0.7818074643998387,percentage
11915,11909,,reads,,1118.0,unit
11915,11909,,relativeAbundance,,2.4572508681700294,percentage
11922,11916,,reads,,3922.0,unit
11922,11916,,relativeAbundance,,5.70730074651843,percentage
11929,11923,,reads,,579.0,unit
11929,11923,,relativeAbundance,,1.3637327178086063,percentage
11936,11930,,reads,,14.0,unit
11936,11930,,relativeAbundance,,0.04268552960546375,percentage
11943,11937,,reads,,90.0,unit
11943,11937,,relativeAbundance,,0.2184890269955331,percentage
11950,11944,,reads,,402.0,unit
11950,11944,,relativeAbundance,,0.8408282786028027,percentage
11957,11951,,reads,,2401.0,unit
11957,11951,,relativeAbundance,,7.526881720430108,percentage
11964,11958,,reads,,171.0,unit
11964,11958,,relativeAbundance,,0.9089459416361027,percentage
11971,11965,,reads,,297.0,unit
