digitalEntityID,digitalEntityType,accessURI,webStatement
15941,sequence,,
15948,sequence,,
15955,sequence,,
15962,sequence,,
15969,sequence,,
15976,sequence,,
15983,sequence,,
15990,sequence,,
15997,sequence,,
16004,sequence,,
16011,sequence,,
16018,sequence,,
16025,sequence,,
16032,sequence,,
16039,sequence,,
16046,sequence,,
16053,sequence,,
16060,sequence,,
16067,sequence,,
16074,sequence,,
16081,sequence,,
16088,sequence,,
16095,sequence,,
16102,sequence,,
16109,sequence,,
16116,sequence,,
16123,sequence,,
16130,sequence,,
16137,sequence,,
16144,sequence,,
16151,sequence,,
16158,sequence,,
16165,sequence,,
16172,sequence,,
16179,sequence,,
16186,sequence,,
16193,sequence,,
16200,sequence,,
16207,sequence,,
16214,sequence,,
16221,sequence,,
16228,sequence,,
16235,sequence,,
16242,sequence,,
16249,sequence,,
16256,sequence,,
16263,sequence,,
16270,sequence,,
16277,sequence,,
16284,sequence,,
16291,sequence,,
16298,sequence,,
16305,sequence,,
16312,sequence,,
16319,sequence,,
16326,sequence,,
16333,sequence,,
16340,sequence,,
16347,sequence,,
16354,sequence,,
16361,sequence,,
16368,sequence,,
16375,sequence,,
16382,sequence,,
16389,sequence,,
16396,sequence,,
16403,sequence,,
16410,sequence,,
16417,sequence,,
16424,sequence,,
16431,sequence,,
16438,sequence,,
16445,sequence,,
16452,sequence,,
16459,sequence,,
16466,sequence,,
16473,sequence,,
16480,sequence,,
16487,sequence,,
16494,sequence,,
16501,sequence,,
16508,sequence,,
16515,sequence,,
16522,sequence,,
16529,sequence,,
16536,sequence,,
16543,sequence,,
16550,sequence,,
16557,sequence,,
16564,sequence,,
16571,sequence,,
16578,sequence,,
16585,sequence,,
16592,sequence,,
16599,sequence,,
16606,sequence,,
16613,sequence,,
16620,sequence,,
16627,sequence,,
16634,sequence,,
16641,sequence,,
16648,sequence,,
16655,sequence,,
16662,sequence,,
16669,sequence,,
16676,sequence,,
16683,sequence,,
16690,sequence,,
16697,sequence,,
16704,sequence,,
16711,sequence,,
16718,sequence,,
16725,sequence,,
16732,sequence,,
16739,sequence,,
16746,sequence,,
16753,sequence,,
16760,sequence,,
16767,sequence,,
16774,sequence,,
16781,sequence,,
16788,sequence,,
16795,sequence,,
16802,sequence,,
16809,sequence,,
16816,sequence,,
16823,sequence,,
